empty,Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location,start,end
0.0,651326,651275,651326,651326,651230,651317,382024,382333,606200,606061,651202,651202,651202,651202,651202,651326,651326,606493,606493,606493,606525,606525,606525,651326,651326
0.25,1055049,1055029,1055049,1055049,1055012,1055042,561434,561644,997971,995102,1055020,1055020,1055020,1055020,1055020,1055049,1055049,998057,998057,998057,995628,995628,995628,1055049,1055049
0.5,561450,561447,561450,561450,561416,561445,253759,253400,527954,519453,561421,561421,561421,561421,561421,561450,561450,528004,528004,528004,520656,520656,520656,561450,561450
0.75,311256,311253,311256,311256,311229,311255,127706,127015,290262,280820,311247,311247,311247,311247,311247,311256,311256,290292,290292,290292,282005,282005,282005,311256,311256
1.0,191030,191026,191030,191030,190996,191029,72656,71911,176855,168508,191028,191028,191028,191028,191028,191030,191030,176885,176885,176885,169493,169493,169493,191030,191030
1.25,125949,125944,125949,125949,125928,125949,45790,45030,115885,109387,125944,125944,125944,125944,125944,125949,125949,115909,115909,115909,110020,110020,110020,125949,125949
1.5,88636,88634,88636,88636,88623,88636,31587,30876,81165,76198,88631,88631,88631,88631,88631,88636,88636,81185,81185,81185,76546,76546,76546,88636,88636
1.75,66167,66165,66167,66167,66142,66167,23349,22675,60345,56264,66164,66164,66164,66164,66164,66167,66167,60365,60365,60365,56477,56477,56477,66167,66167
2.0,50787,50784,50787,50787,50777,50787,17845,17332,46142,43019,50787,50787,50787,50787,50787,50787,50787,46150,46150,46150,43165,43165,43165,50787,50787
2.25,40974,40973,40974,40974,40966,40974,14707,14202,37032,34301,40971,40971,40971,40971,40971,40974,40974,37048,37048,37048,34409,34409,34409,40974,40974
2.5,34196,34194,34196,34196,34183,34196,12452,11952,30801,28379,34194,34194,34194,34194,34194,34196,34196,30811,30811,30811,28465,28465,28465,34196,34196
2.75,29594,29592,29594,29594,29588,29594,11112,10563,26637,24485,29593,29593,29593,29593,29593,29594,29594,26643,26643,26643,24549,24549,24549,29594,29594
3.0,25829,25829,25829,25829,25825,25828,9794,9284,23117,21227,25827,25827,25827,25827,25827,25829,25829,23127,23127,23127,21288,21288,21288,25829,25829
3.25,22770,22769,22770,22770,22764,22770,8685,8226,20235,18504,22769,22769,22769,22769,22769,22770,22770,20241,20241,20241,18541,18541,18541,22770,22770
3.5,20373,20373,20373,20373,20364,20373,7759,7316,18038,16503,20370,20370,20370,20370,20370,20373,20373,18040,18040,18040,16544,16544,16544,20373,20373
3.75,17029,17028,17029,17029,17016,17029,6273,5966,15156,13925,17028,17028,17028,17028,17028,17029,17029,15160,15160,15160,13958,13958,13958,17029,17029
4.0,14429,14428,14429,14429,14421,14429,5261,4964,12825,11734,14427,14427,14427,14427,14427,14429,14429,12826,12826,12826,11758,11758,11758,14429,14429
4.25,12127,12124,12127,12127,12100,12127,4322,4110,10726,9887,12126,12126,12126,12126,12126,12127,12127,10728,10728,10728,9899,9899,9899,12127,12127
4.5,10306,10306,10306,10306,10275,10306,3591,3436,9117,8460,10305,10305,10305,10305,10305,10306,10306,9119,9119,9119,8474,8474,8474,10306,10306
4.75,8786,8785,8786,8786,8771,8785,2932,2810,7747,7217,8786,8786,8786,8786,8786,8786,8786,7748,7748,7748,7227,7227,7227,8786,8786
5.0,7704,7702,7704,7704,7698,7704,2440,2348,6739,6305,7704,7704,7704,7704,7704,7704,7704,6740,6740,6740,6316,6316,6316,7704,7704
5.25,6753,6753,6753,6753,6743,6753,2058,1982,5908,5523,6753,6753,6753,6753,6753,6753,6753,5909,5909,5909,5530,5530,5530,6753,6753
5.5,5866,5864,5866,5866,5861,5866,1776,1731,5087,4790,5866,5866,5866,5866,5866,5866,5866,5088,5088,5088,4798,4798,4798,5866,5866
5.75,5260,5260,5260,5260,5249,5260,1559,1493,4558,4277,5259,5259,5259,5259,5259,5260,5260,4560,4560,4560,4286,4286,4286,5260,5260
6.0,4629,4628,4629,4629,4624,4629,1410,1355,3979,3736,4629,4629,4629,4629,4629,4629,4629,3980,3980,3980,3741,3741,3741,4629,4629
6.25,4294,4294,4294,4294,4290,4294,1241,1201,3736,3539,4294,4294,4294,4294,4294,4294,4294,3737,3737,3737,3542,3542,3542,4294,4294
6.5,3956,3956,3956,3956,3954,3956,1082,1039,3434,3180,3956,3956,3956,3956,3956,3956,3956,3435,3435,3435,3183,3183,3183,3956,3956
6.75,3503,3503,3503,3503,3502,3503,937,903,3067,2880,3503,3503,3503,3503,3503,3503,3503,3068,3068,3068,2882,2882,2882,3503,3503
7.0,3168,3168,3168,3168,3166,3168,859,834,2802,2648,3166,3166,3166,3166,3166,3168,3168,2802,2802,2802,2651,2651,2651,3168,3168
7.25,3124,3124,3124,3124,3122,3124,854,822,2783,2573,3124,3124,3124,3124,3124,3124,3124,2783,2783,2783,2575,2575,2575,3124,3124
7.5,3027,3025,3027,3027,3027,3027,826,776,2726,2517,3027,3027,3027,3027,3027,3027,3027,2726,2726,2726,2518,2518,2518,3027,3027
7.75,3000,2999,3000,3000,3000,3000,777,746,2648,2484,3000,3000,3000,3000,3000,3000,3000,2649,2649,2649,2485,2485,2485,3000,3000
8.0,2851,2851,2851,2851,2851,2851,701,673,2557,2380,2851,2851,2851,2851,2851,2851,2851,2557,2557,2557,2383,2383,2383,2851,2851
8.25,2929,2929,2929,2929,2928,2929,747,716,2610,2465,2928,2928,2928,2928,2928,2929,2929,2612,2612,2612,2469,2469,2469,2929,2929
8.5,2935,2934,2935,2935,2934,2935,705,678,2654,2470,2935,2935,2935,2935,2935,2935,2935,2656,2656,2656,2473,2473,2473,2935,2935
8.75,3046,3045,3046,3046,3045,3046,777,759,2719,2550,3045,3045,3045,3045,3045,3046,3046,2719,2719,2719,2552,2552,2552,3046,3046
9.0,3215,3215,3215,3215,3214,3215,841,810,2918,2713,3215,3215,3215,3215,3215,3215,3215,2918,2918,2918,2717,2717,2717,3215,3215
9.25,3281,3281,3281,3281,3281,3281,840,817,2954,2769,3281,3281,3281,3281,3281,3281,3281,2954,2954,2954,2771,2771,2771,3281,3281
9.5,3427,3427,3427,3427,3427,3427,916,866,3128,2930,3426,3426,3426,3426,3426,3427,3427,3128,3128,3128,2936,2936,2936,3427,3427
9.75,3730,3730,3730,3730,3730,3730,1053,1039,3372,3202,3730,3730,3730,3730,3730,3730,3730,3372,3372,3372,3205,3205,3205,3730,3730
10.0,3805,3802,3805,3805,3805,3805,1098,1055,3433,3210,3804,3804,3804,3804,3804,3805,3805,3433,3433,3433,3214,3214,3214,3805,3805
10.25,4288,4288,4288,4288,4287,4288,1210,1174,3895,3654,4288,4288,4288,4288,4288,4288,4288,3897,3897,3897,3658,3658,3658,4288,4288
10.5,4616,4615,4616,4616,4615,4616,1386,1370,4205,3969,4616,4616,4616,4616,4616,4616,4616,4205,4205,4205,3974,3974,3974,4616,4616
10.75,4941,4941,4941,4941,4938,4941,1481,1454,4500,4250,4941,4941,4941,4941,4941,4941,4941,4500,4500,4500,4250,4250,4250,4941,4941
11.0,5252,5252,5252,5252,5251,5252,1620,1571,4783,4529,5252,5252,5252,5252,5252,5252,5252,4784,4784,4784,4532,4532,4532,5252,5252
11.25,5627,5627,5627,5627,5626,5627,1694,1635,5092,4791,5627,5627,5627,5627,5627,5627,5627,5092,5092,5092,4798,4798,4798,5627,5627
11.5,6017,6015,6017,6017,6017,6017,1865,1816,5504,5239,6016,6016,6016,6016,6016,6017,6017,5504,5504,5504,5245,5245,5245,6017,6017
11.75,6236,6235,6236,6236,6234,6236,1927,1887,5671,5422,6236,6236,6236,6236,6236,6236,6236,5672,5672,5672,5427,5427,5427,6236,6236
12.0,6713,6712,6713,6713,6712,6713,2149,2096,6125,5855,6713,6713,6713,6713,6713,6713,6713,6125,6125,6125,5860,5860,5860,6713,6713
12.25,6954,6953,6954,6954,6952,6954,2265,2201,6386,6060,6954,6954,6954,6954,6954,6954,6954,6387,6387,6387,6071,6071,6071,6954,6954
12.5,7414,7414,7414,7414,7413,7414,2314,2266,6751,6435,7414,7414,7414,7414,7414,7414,7414,6751,6751,6751,6442,6442,6442,7414,7414
12.75,7389,7389,7389,7389,7389,7389,2286,2218,6726,6395,7389,7389,7389,7389,7389,7389,7389,6726,6726,6726,6396,6396,6396,7389,7389
13.0,7828,7827,7828,7828,7827,7828,2354,2307,7153,6793,7825,7825,7825,7825,7825,7828,7828,7153,7153,7153,6800,6800,6800,7828,7828
13.25,7947,7946,7947,7947,7947,7947,2362,2290,7296,6918,7947,7947,7947,7947,7947,7947,7947,7296,7296,7296,6921,6921,6921,7947,7947
13.5,8113,8113,8113,8113,8113,8113,2405,2345,7383,6979,8113,8113,8113,8113,8113,8113,8113,7384,7384,7384,6984,6984,6984,8113,8113
13.75,8117,8117,8117,8117,8116,8117,2370,2314,7450,7110,8117,8117,8117,8117,8117,8117,8117,7450,7450,7450,7115,7115,7115,8117,8117
14.0,8146,8146,8146,8146,8144,8146,2378,2317,7451,7104,8146,8146,8146,8146,8146,8146,8146,7452,7452,7452,7113,7113,7113,8146,8146
14.25,8089,8089,8089,8089,8084,8089,2376,2314,7391,6991,8089,8089,8089,8089,8089,8089,8089,7391,7391,7391,7005,7005,7005,8089,8089
14.5,8124,8123,8124,8124,8123,8124,2387,2334,7411,7054,8124,8124,8124,8124,8124,8124,8124,7411,7411,7411,7059,7059,7059,8124,8124
14.75,8184,8184,8184,8184,8181,8184,2408,2327,7486,7080,8184,8184,8184,8184,8184,8184,8184,7486,7486,7486,7089,7089,7089,8184,8184
15.0,7896,7895,7896,7896,7895,7896,2297,2237,7218,6859,7895,7895,7895,7895,7895,7896,7896,7218,7218,7218,6868,6868,6868,7896,7896
15.25,8007,8005,8007,8007,8005,8007,2341,2269,7275,6887,8007,8007,8007,8007,8007,8007,8007,7277,7277,7277,6893,6893,6893,8007,8007
15.5,7755,7754,7755,7755,7751,7755,2252,2179,7019,6640,7755,7755,7755,7755,7755,7755,7755,7019,7019,7019,6646,6646,6646,7755,7755
15.75,7655,7655,7655,7655,7653,7655,2126,2058,6957,6543,7655,7655,7655,7655,7655,7655,7655,6958,6958,6958,6547,6547,6547,7655,7655
16.0,7578,7576,7578,7578,7577,7578,2105,2053,6926,6539,7577,7577,7577,7577,7577,7578,7578,6928,6928,6928,6546,6546,6546,7578,7578
16.25,7560,7558,7560,7560,7559,7560,2201,2139,6882,6447,7560,7560,7560,7560,7560,7560,7560,6882,6882,6882,6452,6452,6452,7560,7560
16.5,7327,7327,7327,7327,7325,7327,2047,1984,6683,6259,7327,7327,7327,7327,7327,7327,7327,6683,6683,6683,6267,6267,6267,7327,7327
16.75,7085,7085,7085,7085,7084,7085,1994,1919,6425,6019,7085,7085,7085,7085,7085,7085,7085,6425,6425,6425,6026,6026,6026,7085,7085
17.0,6852,6851,6852,6852,6852,6852,1917,1858,6172,5817,6852,6852,6852,6852,6852,6852,6852,6173,6173,6173,5825,5825,5825,6852,6852
17.25,6781,6779,6781,6781,6779,6781,1842,1766,6142,5756,6781,6781,6781,6781,6781,6781,6781,6143,6143,6143,5761,5761,5761,6781,6781
17.5,6342,6341,6342,6342,6339,6342,1717,1651,5722,5347,6342,6342,6342,6342,6342,6342,6342,5723,5723,5723,5349,5349,5349,6342,6342
17.75,6223,6222,6223,6223,6217,6223,1688,1625,5599,5231,6222,6222,6222,6222,6222,6223,6223,5601,5601,5601,5238,5238,5238,6223,6223
18.0,6069,6069,6069,6069,6065,6069,1584,1533,5476,5113,6069,6069,6069,6069,6069,6069,6069,5476,5476,5476,5121,5121,5121,6069,6069
18.25,5763,5763,5763,5763,5761,5763,1502,1459,5159,4795,5763,5763,5763,5763,5763,5763,5763,5160,5160,5160,4801,4801,4801,5763,5763
18.5,5387,5387,5387,5387,5385,5387,1446,1386,4868,4550,5387,5387,5387,5387,5387,5387,5387,4868,4868,4868,4553,4553,4553,5387,5387
18.75,5335,5334,5335,5335,5334,5335,1424,1360,4777,4452,5335,5335,5335,5335,5335,5335,5335,4777,4777,4777,4456,4456,4456,5335,5335
19.0,4987,4987,4987,4987,4986,4987,1303,1268,4439,4191,4986,4986,4986,4986,4986,4987,4987,4441,4441,4441,4200,4200,4200,4987,4987
