Trip Start Timestamp,PCA_01,PCA_02,PCA_03,PCA_04,PCA_06,PCA_07,PCA_08,PCA_16,PCA_22,PCA_24,PCA_28,PCA_32,PCA_33,PCA_35,PCA_38,PCA_41,PCA_43,PCA_56,PCA_76,PCA_77
12:00:00 AM,151,168,559,154,877,514,6250,161,185,459,2049,2406,273,46,45,37,48,553,2496,271
12:15:00 AM,138,141,359,152,782,520,6286,173,181,404,1737,2021,198,68,38,31,40,532,2330,306
12:30:00 AM,128,114,367,136,783,447,5551,162,205,396,1475,1598,167,53,39,26,49,401,1992,246
12:45:00 AM,125,122,285,114,796,467,5350,149,192,345,1359,1379,147,48,26,21,30,383,1782,172
1:00:00 AM,136,100,237,111,789,475,5110,157,186,390,1119,1228,150,44,24,19,27,332,1523,165
1:15:00 AM,128,125,250,113,879,445,5175,166,208,396,960,1127,91,39,22,17,29,255,1250,170
1:30:00 AM,158,86,262,114,904,466,4935,132,206,343,889,928,115,34,22,15,116,246,1001,162
1:45:00 AM,141,87,236,96,1032,462,5110,143,213,372,862,815,90,26,21,21,58,189,809,156
2:00:00 AM,183,97,223,96,996,460,4661,218,190,369,729,685,92,34,36,12,30,147,623,148
2:15:00 AM,157,122,212,85,882,374,4133,142,176,315,555,547,68,26,40,10,26,94,412,139
2:30:00 AM,185,85,183,70,891,380,4090,132,180,337,445,487,83,25,26,5,37,64,246,107
2:45:00 AM,180,96,191,94,989,353,4253,117,147,336,481,402,64,18,51,7,20,49,220,91
3:00:00 AM,211,88,164,94,1016,352,3927,136,141,378,414,396,57,26,40,9,34,27,179,110
3:15:00 AM,202,86,149,77,863,278,3575,110,136,288,405,374,59,24,31,9,30,23,130,111
3:30:00 AM,228,87,138,79,753,281,3471,96,103,250,336,289,55,11,27,8,15,14,110,129
3:45:00 AM,277,70,152,60,841,280,3478,86,95,255,302,296,66,17,15,9,24,18,118,101
4:00:00 AM,284,91,199,67,851,220,2970,88,122,243,252,311,75,20,22,14,24,25,163,125
4:15:00 AM,210,70,154,74,752,189,2459,68,105,226,188,334,80,18,24,7,53,19,109,126
4:30:00 AM,279,86,167,88,597,185,2313,160,106,174,189,304,88,22,19,17,60,6,157,130
4:45:00 AM,359,147,205,89,649,179,2464,115,83,333,171,365,85,17,36,12,81,14,231,149
5:00:00 AM,312,121,219,82,724,226,1874,84,116,248,198,438,115,28,71,25,69,20,357,144
5:15:00 AM,200,111,258,98,580,220,1558,88,118,160,439,461,122,26,37,34,58,30,483,158
5:30:00 AM,301,127,312,200,552,263,1592,110,104,139,354,870,142,34,121,34,94,28,492,184
5:45:00 AM,154,129,233,148,507,225,1714,127,132,193,377,952,152,43,53,38,97,45,555,261
6:00:00 AM,177,185,218,208,508,220,1683,134,88,176,639,990,173,26,52,35,161,41,695,217
6:15:00 AM,200,176,322,145,550,292,1992,181,96,178,2204,1566,150,51,126,30,156,47,852,326
6:30:00 AM,266,230,511,145,700,346,2319,230,119,200,1483,2296,223,66,118,45,140,65,799,269
6:45:00 AM,218,225,458,115,771,461,3278,221,139,263,2640,3399,309,117,106,53,127,102,855,395
7:00:00 AM,238,399,546,158,728,506,3619,234,106,157,3101,2820,341,155,126,74,221,116,913,443
7:15:00 AM,357,328,470,214,963,648,4209,236,224,200,5632,4298,508,152,118,155,225,152,1014,520
7:30:00 AM,353,425,645,184,1164,920,5128,273,171,298,5517,5984,598,343,125,178,247,209,1128,588
7:45:00 AM,415,363,771,165,1268,959,7078,321,186,305,7502,7761,702,173,138,176,283,272,1320,628
8:00:00 AM,471,394,790,150,1367,981,7356,306,134,346,8198,7348,833,285,185,254,275,330,1308,610
8:15:00 AM,419,406,796,176,1629,1103,8301,468,165,474,9056,8731,704,365,217,167,267,364,1492,654
8:30:00 AM,439,556,951,216,1791,1213,9262,408,207,376,9807,9326,914,366,244,232,294,439,1758,835
8:45:00 AM,454,511,1015,232,1953,1436,10964,427,192,461,10556,11162,967,362,324,212,294,462,2041,994
9:00:00 AM,546,494,1139,301,1882,1339,10540,300,190,408,10484,10620,870,504,417,221,349,503,2291,932
9:15:00 AM,440,469,993,280,1984,1287,10705,263,213,390,9504,9507,899,367,325,255,310,606,2702,1022
9:30:00 AM,465,455,1128,314,2181,1353,11138,440,240,351,8889,9754,977,373,371,304,369,594,2796,1036
9:45:00 AM,490,398,1244,296,2239,1373,12687,373,252,450,8776,10881,1077,374,337,381,375,559,2785,988
10:00:00 AM,471,539,1236,330,2048,1280,11698,472,238,484,8279,10270,1059,403,396,419,351,716,2959,1079
10:15:00 AM,481,457,1169,365,1926,1302,11790,366,255,450,6677,9002,985,412,337,437,354,623,2957,1031
10:30:00 AM,485,549,1160,422,1986,1211,11793,454,263,484,7169,9020,1054,459,405,434,364,508,2993,1047
10:45:00 AM,453,480,1122,396,1943,1217,12932,415,272,497,6537,10769,1030,464,379,455,348,437,3190,983
11:00:00 AM,516,510,1200,341,1934,1100,12287,420,238,514,6786,10232,1143,458,376,436,408,613,3109,1019
11:15:00 AM,477,521,1215,357,1978,1154,12670,390,272,501,5697,10771,1131,516,436,435,394,647,2980,974
11:30:00 AM,496,545,1135,338,2075,1216,13234,427,289,449,7169,11597,1155,540,398,491,387,706,2836,1065
11:45:00 AM,495,518,1117,399,2029,1198,14979,423,309,516,7082,15046,1332,528,402,487,356,678,3071,1063
12:00:00 PM,493,536,1127,392,2029,1118,14233,432,294,516,6618,13676,1243,529,401,499,454,637,3290,999
12:15:00 PM,480,583,1088,372,1900,1152,14112,441,301,467,5703,13534,1374,488,439,517,371,644,3263,1047
12:30:00 PM,511,569,1077,423,2036,1199,14080,424,306,504,6757,13096,1351,573,411,519,373,693,3476,1016
12:45:00 PM,459,547,1093,425,1932,1242,15819,460,274,512,7300,16198,1422,479,414,537,407,963,3581,1016
1:00:00 PM,511,609,1100,483,1917,1154,15736,443,315,556,6173,15273,1501,561,435,553,409,878,3874,964
1:15:00 PM,503,601,1011,488,1812,1145,15724,420,315,576,5417,14667,1349,531,415,577,407,905,4109,978
1:30:00 PM,450,652,1068,450,1979,1175,14960,427,280,533,6340,13332,1504,517,386,495,373,965,4052,945
1:45:00 PM,478,723,1027,472,1932,1127,15959,438,311,574,6634,15059,1493,544,433,539,384,979,4192,962
2:00:00 PM,442,618,962,439,1912,1034,15754,473,297,631,5351,14288,1579,521,497,597,446,1013,4559,937
2:15:00 PM,546,566,1084,528,1832,1048,15790,501,298,589,5004,14411,1604,543,445,637,411,1069,4834,983
2:30:00 PM,512,596,1069,503,1844,1121,15265,475,294,606,5998,13242,1651,607,436,586,411,1030,4740,991
2:45:00 PM,470,582,1049,516,1956,987,15974,445,259,571,6582,14879,1653,552,395,566,408,1024,4778,1032
3:00:00 PM,480,573,1186,515,1880,1070,15933,472,282,562,5604,15061,1744,477,445,648,341,1033,4849,1028
