key,value,date
1,1016,0:00:00
1.25,673,0:00:00
1.5,452,0:00:00
1.75,376,0:00:00
2,307,0:00:00
2.25,309,0:00:00
2.5,250,0:00:00
2.75,242,0:00:00
3,209,0:00:00
3.25,169,0:00:00
3.5,127,0:00:00
3.75,112,0:00:00
4,86,0:00:00
4.25,85,0:00:00
4.5,67,0:00:00
4.75,69,0:00:00
5,57,0:00:00
5.25,52,0:00:00
5.5,41,0:00:00
5.75,29,0:00:00
6,31,0:00:00
6.25,32,0:00:00
6.5,25,0:00:00
6.75,17,0:00:00
7,17,0:00:00
7.25,17,0:00:00
7.5,12,0:00:00
7.75,14,0:00:00
8,12,0:00:00
8.25,12,0:00:00
8.5,16,0:00:00
8.75,15,0:00:00
9,14,0:00:00
9.25,7,0:00:00
9.5,9,0:00:00
9.75,12,0:00:00
10,8,0:00:00
10.25,10,0:00:00
10.5,8,0:00:00
10.75,8,0:00:00
11,9,0:00:00
11.25,4,0:00:00
11.5,6,0:00:00
11.75,9,0:00:00
12,2,0:00:00
12.25,6,0:00:00
12.5,6,0:00:00
12.75,5,0:00:00
13,7,0:00:00
13.25,6,0:00:00
13.5,3,0:00:00
13.75,8,0:00:00
14,8,0:00:00
14.25,5,0:00:00
14.5,4,0:00:00
14.75,4,0:00:00
15,5,0:00:00
15.25,3,0:00:00
15.5,3,0:00:00
15.75,0,0:00:00
16,4,0:00:00
16.25,3,0:00:00
16.5,3,0:00:00
16.75,1,0:00:00
17,1,0:00:00
17.25,3,0:00:00
17.5,6,0:00:00
17.75,5,0:00:00
18,3,0:00:00
18.25,7,0:00:00
18.5,4,0:00:00
18.75,12,0:00:00
19,8,0:00:00
19.25,10,0:00:00
19.5,8,0:00:00
19.75,9,0:00:00
1,940,0:15:00
1.25,614,0:15:00
1.5,452,0:15:00
1.75,330,0:15:00
2,304,0:15:00
2.25,265,0:15:00
2.5,200,0:15:00
2.75,192,0:15:00
3,197,0:15:00
3.25,165,0:15:00
3.5,126,0:15:00
3.75,114,0:15:00
4,98,0:15:00
